タイトル	Type	おすすめ度	難易度	クリア時間	ひとこと	URL
僕たちは、学園祭の夢を見る	Web謎	8	4	150	鳥肌展開に感動。	https://gakuyume.kirizou.site/
INVISIBLE RIDDLE	Web謎	6	2	20	ちょうどよい手軽さ！	https://invisibleriddle.netlify.app/
Spiky	Web謎	10	4	50	こんな面白い謎解きは他にあるのか！1番面白い宇宙謎だと思う。	https://toto0121.github.io/spiky.html
6_23	Web謎	8	4	100	個人的には意外とすんなり挙動理解できた。	https://zerokitsunehal.org/6_23/
ヨクジツ	Web謎	9	2	30	挙動を理解するフェーズと、挙動を理解してからクリアを考えるフェーズがわかりやすく分断されてる。	https://zerokitsunehal.org/next-day/
10 buttons	Web謎	6	1	5	宇宙謎入門って感じ。	https://st.riddler.co.jp/10buttons/
Beautiful Bingo（謎解き王トーナメント2015Cブロック）	Web謎	6	3	60	小謎がむずすぎるのがいくつかあった。	https://zerokitsunehal.org/tournament/2/
D（謎解き王トーナメント2015 Dブロック）	Web謎	10	3	20	Web謎がWeb謎である理由。面白い！	https://zerokitsunehal.org/tournament/2/
dishes（謎解き王トーナメント2015 準決勝）	Web謎	4	3	40		https://zerokitsunehal.org/tournament/2/
ASAMESHIMAE（謎解き王トーナメント2020Aブロック）	Web謎_スマホ	5	2	10	手軽にできる	https://nazo2020.zerokitsunehal.org/
Classics（謎解き王トーナメント2020Cブロック）	Web謎_スマホ	9	3	25	これはかなり面白い！キレイだなって	https://nazo2020.zerokitsunehal.org/
Dyscontrol Center（謎解き王トーナメント2020 Dブロック）	Web謎_スマホ	10	3	20	最後なるほどね！面白い！！	https://nazo2020.zerokitsunehal.org/
Find 16（謎解き王トーナメント2020 Fブロック）	Web謎_スマホ	7	3	40		https://nazo2020.zerokitsunehal.org/
One Side Game（謎解き王トーナメント2020準決勝）	Web謎_スマホ	5	4	40	挙動理解後が普通に難しい	https://nazo2020.zerokitsunehal.org/
Outlaw（謎解き王トーナメント2020準決勝）	Web謎_スマホ	10	4	50	こういうの好きなんだよなあ	https://nazo2020.zerokitsunehal.org/
Watchmen（謎解き王トーナメント2020準決勝）	Web謎_スマホ	7	4	100	最後ぬるっとって感じだけど、テーマ?面白い。	https://nazo2020.zerokitsunehal.org/
One Peace（謎解き王トーナメント2020準決勝）	Web謎_スマホ	6	5	180	クリアはしたけど、完全な理解は友達に助けてもらった。	https://nazo2020.zerokitsunehal.org/
サイレント	Web謎	10	3	30	おもろすぎるww 「エクストラ要素をクリア」も目指してやってみてほしい。	https://horicun.moo.jp/nazotoki/silentII/
countdown	Web謎	4	3	25	そういう角度の謎解きもあるのかと学び。NORMALでクリア( ;∀;)	https://toto0121.github.io/countdown.html
性格診断謎	Web謎	5	3	270	解いた当初は激ムズだったけど、振り返ると難易度は3くらいか。	https://shiwehi.com/ownwork/seikaku/
MISSION1 UNLOCK -88-	Web謎	6	4	80		https://toagents.wordpress.com/2020/04/15/mission-01-unlock-88/
MISSION2 ESCAPE -8-		7	7	420	かなり難しい。ヒント1つ見てしまった。	https://toagents.wordpress.com/2020/04/15/mission-02-escape-8/
MISSION3 LABORATORY -06-		8	4	60	解けたときの気持ちよさ半端なかったこれ	https://toagents.wordpress.com/2020/11/28/mission-03-laboratory-06/
MISSION4 OOPARTS -10000-		7	8	600	これはむずすぎるって、ノーヒントで俺偉いよホント	https://toagents.wordpress.com/2020/12/05/mission-04-ooparts-10000/
